dummy_celebrities,dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_francepolitics,dummy_jeanlucmlenchon,dummy_ligue1,dummy_nikosaliagas,dummy_politicalfigures,dummy_politics,dummy_soccer,dummy_sports,dummy_sportsfitnessbusiness,dummy_staderennaisfc,dummy_tvhosts,dummy_tvstars,hashtags_count,impression_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_period,tweet_sentiment,tweet_text,followers_count
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,14191,0,1,304,0,0,0.5267,"Papier si juste et vibrant de sincérité qui replace le politique à son juste niveau - l’art de faire confiance. Et si re-régler notre société égarée dans l’infantilisme d’Etat, dévitalisant, si méfiant à l’égard de l’intelligence des autres, était l’essentiel ? Un retour du sens. https://t.co/UlTX8vwiVj",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,0,0,0.0,RT @AlexandreJardin: Question capitale… quelle est selon votre expérience la meilleure variété de pommes de terre pour réussir des frites h…,92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2856,0,1,328,1,1,0.4939,"Avec l’inflation XXL de mars, on y est : fin du modèle étatiste bureaucratique centralisé qui ravage. Prendre le volant en pleine embardée va nécessiter un courage lisnardien,une réforme radicale du mode d’inaction publique, l’éclosion de toutes les pensées différentes #magiciens https://t.co/eXQa7DIA1n https://t.co/Z8CRQJXqgw",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2210,0,1,146,0,18,0.0,Affligeant de voir Paul Reynaud expliquer a Churchill ce qu’est un homme d’Etat… Le marin d’eau douce face au cap-hornier. https://t.co/gAXd50H4Va,92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7493,0,0,113,1,5,0.0,Choux-fleur rôti… Ce qui est dévoré n’est plus à manger. Le bonheur n’est pas une option… https://t.co/rnEngNtsBj,92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1147,1,0,186,0,4,0.5267,"Les morsures de l’inflation fabriquent des interprétations paranoïaques ou positives. Un ami m’a dit hier que dans son patelin d’enfance, @caritasfrance a mobilisé 25 nouveaux bénévoles…",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4350,0,1,202,0,6,0.0,"Merci à tous les lecteurs et lectrices qui, depuis la parution de ce roman, écrivent à la Société Géographique des Gauchers pour demander les conditions d’émigration dans l’île ! https://t.co/LimPhlDN6I",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,139,0,13,0.5994,"RT @AlexandreJardin: Le métier d’un chef d’Etat est il d’organiser l’auto congratulation d’une classe politique, l’entre-soi sédimenté, ou…",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6910,0,1,218,0,2,0.0,"Depuis que j’ouvre mon esprit et détruis mes à priori gustatifs en découvrant les cuisines chinoises innombrables à Toronto… j’agrandis mes façons d’être, je me dépiaute des anciens moi étriqués https://t.co/qEhZvDLkuZ",92244
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3253,0,1,294,0,2,0.1779,"On sent bien qu’un État qui augmente les taxes en période inflationniste (comble de la folie, de l’expédient) est un État qui n’a plus de modèle de structuration des prix à partir d’une énergie maîtrisée. Les solutions naissent rarement des modes de pensée qui dérèglent https://t.co/VpwdduEn35",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31830,0,0,302,1,0,0.644,"Le métier d’un chef d’Etat est il d’organiser l’auto congratulation d’une classe politique, l’entre-soi sédimenté, ou de célébrer le sang neuf, les pensées d’ailleurs ? Prêtes à doper le groupe. À quel moment redevenons-nous une énergie extraordinaire ? Productrice de modernité https://t.co/BXsyzJJUDa",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,0,13,-0.128,"RT @AlexandreJardin: C’est dans les livres qu’on apprend l’amour. Quand j’ai publié ce roman, j’en ignorais tout. Plume à la main, je me su…",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,237,1,4,-0.128,"C’est dans les livres qu’on apprend l’amour. Quand j’ai publié ce roman, j’en ignorais tout. Plume à la main, je me suis enseigné ce que je vis à présent de manière improbable. La littérature ouvre à l’impensable. https://t.co/T1RYeacLCc",92244
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,5,0,164,0,16,0.4939,"@thomas_pietri @davidlisnard @pascalperri @nikosaliagas @dr_l_alexandre Son cœur est haut, son cœur est juste. Avoir du Coeur en français signifie avoir du courage.",92244
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139,0,17,0.0,"RT @PascalJardin_: ""Ceux qui voient le soleil dans les yeux d'une maîtresse, et lisent leurs blessures sur des lèvres peintes en rouge, et…",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,3,0,84,0,3,0.0,@LEGENRA @lopinion_fr @philippejuvin Merci aux intelligents issus de l’action réelle,92244
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3281,0,1,301,0,3,0.0,"Dérèglement final d’un système fou où la culture administrative se heurte à la culture professionnelle, et tente de la soumettre. Après la grande crise systémique qui se dessine, c’est la dissolution du bureaucratisme qui sera l’axe vivant : croire en l’intelligence des autres https://t.co/Oq9pZqx7pg",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3398,0,1,33,0,16,0.0,On y va…. https://t.co/2qg7O8NTES,92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,11,0,174,0,8,0.0,"@ArnaudGEORGES83 @davidlisnard @lopinion_fr @Nouv_Energie @JeunesEnergies @MartinAlex06 @PielVeronique @TMigoule @sophiemouysset @fremondiere @BCerulli Oui, vraiment puissant",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6279,0,1,162,0,16,0.25,"Par moments, j’explose. Je viens de hurler sur un quai. C’est un tel excès de chance d’être entièrement fasciné par la matière de sa femme https://t.co/JTxdD3HE4P",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,12,0.0,RT @AlexandreJardin: La vie… la vraie !!!!!!!,92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,0,1,48,0,8,0.0,La vie… la vraie !!!!!!! https://t.co/rhMr3s1YDU,92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4403,0,1,228,0,18,0.0,"Avril 2020… le plus extraordinaire n’est pas que la bureaucratie d’Etat délire depuis  longtemps mais qu’on lui obéisse depuis si longtemps  : Covid, prix de l’énergie… Et que l’on consente à la financer. https://t.co/Fz5FhoD6rF",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4234,0,1,53,0,14,0.0,"Évidemment, c’est déplaisant… https://t.co/F0sPLfqukB",92244
